<new sheet>
sheet_name: Sheet1
,Inflows and outflows of the CSE market ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD Mn
,,,,,(USD Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Primary Market Inflows,Secondary Market ,,CSE net Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflows,Outflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-06-01 00:00:00,0.0015614360378531941,12.642300577734597,18.368561803951945,-5.7246997901794945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-07-01 00:00:00,0,10.270145209224378,51.10509018518971,-40.83494497596533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-08-01 00:00:00,0.8213124797718102,10.444313615069921,27.20030497324697,-15.934678878405236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-01 00:00:00,0.02722963115731803,12.187548706055816,45.94512527029694,-33.73034693308381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-10-01 00:00:00,0,4.6659954876101395,11.734700403605672,-7.068704915995532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-01 00:00:00,0.038471766511693165,10.54,30.37,-19.791528233488307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-12-01 00:00:00,15.448829780748422,11.45112881,22.96741195,3.9325466407484235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2021,26.58379902332544,171.84394142715334,436.40914825818726,-237.9814078077085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-01-01 00:00:00,49.882130667494856,75.93193598520428,89.50003180536712,36.31403484733201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-02-01 00:00:00,50.61585840815878,9.099655651518038,11.025877281916685,48.689636777760136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-01 00:00:00,0,10.255552368737417,4.784691125062944,5.470861243674474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-04-01 00:00:00,0.3255693054093653,4.304389834514326,3.111623761729712,1.5183353781939788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-05-01 00:00:00,0,3.9234882608499193,3.489047516432839,0.43444074441708036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-06-01 00:00:00,0,3.6283139529887727,3.639187064530899,-0.010873111542126335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-07-01 00:00:00,0,4.6002633698403805,2.4277799363790575,2.172483433461323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
