<new sheet>
sheet_name: HS codes Export Classification 
HS Codes related to 2007-Jan 2023 Export Classification (a),,,
No.,Major Category,Minor Category,HSCO
300,Agricultural exports,Minor agricultural exports,06031003
301,Agricultural exports,Minor agricultural exports,06031004
302,Agricultural exports,Minor agricultural exports,06031009
303,Agricultural exports,Minor agricultural exports,06031010
304,Agricultural exports,Minor agricultural exports,06031020
305,Agricultural exports,Minor agricultural exports,06031030
306,Agricultural exports,Minor agricultural exports,06031040
307,Agricultural exports,Minor agricultural exports,06031090
308,Agricultural exports,Minor agricultural exports,06031901
309,Agricultural exports,Minor agricultural exports,06031909
310,Agricultural exports,Minor agricultural exports,06031910
311,Agricultural exports,Minor agricultural exports,06031990
312,Agricultural exports,Minor agricultural exports,08012101
313,Agricultural exports,Minor agricultural exports,08012109
314,Agricultural exports,Minor agricultural exports,08012110
315,Agricultural exports,Minor agricultural exports,08012190
316,Agricultural exports,Minor agricultural exports,08013101
317,Agricultural exports,Minor agricultural exports,08013109
318,Agricultural exports,Minor agricultural exports,08013110
319,Agricultural exports,Minor agricultural exports,08013190
320,Agricultural exports,Minor agricultural exports,08019090
321,Agricultural exports,Minor agricultural exports,08021101
322,Agricultural exports,Minor agricultural exports,08021109
323,Agricultural exports,Minor agricultural exports,08021110
324,Agricultural exports,Minor agricultural exports,08021190
325,Agricultural exports,Minor agricultural exports,08021910
326,Agricultural exports,Minor agricultural exports,08022109
327,Agricultural exports,Minor agricultural exports,08022190
328,Agricultural exports,Minor agricultural exports,08023101
329,Agricultural exports,Minor agricultural exports,08023109
330,Agricultural exports,Minor agricultural exports,08023110
331,Agricultural exports,Minor agricultural exports,08023190
332,Agricultural exports,Minor agricultural exports,08024001
333,Agricultural exports,Minor agricultural exports,08024009
334,Agricultural exports,Minor agricultural exports,08024010
335,Agricultural exports,Minor agricultural exports,08024090
336,Agricultural exports,Minor agricultural exports,08025001
337,Agricultural exports,Minor agricultural exports,08025009
338,Agricultural exports,Minor agricultural exports,08025010
339,Agricultural exports,Minor agricultural exports,08025090
340,Agricultural exports,Minor agricultural exports,08028010
341,Agricultural exports,Minor agricultural exports,08028090
342,Agricultural exports,Minor agricultural exports,08029001
343,Agricultural exports,Minor agricultural exports,08029002
344,Agricultural exports,Minor agricultural exports,08029009
345,Agricultural exports,Minor agricultural exports,08029010
346,Agricultural exports,Minor agricultural exports,08029020
347,Agricultural exports,Minor agricultural exports,08029030
348,Agricultural exports,Minor agricultural exports,08029090
349,Agricultural exports,Minor agricultural exports,08030001
350,Agricultural exports,Minor agricultural exports,08030009
351,Agricultural exports,Minor agricultural exports,08030010
352,Agricultural exports,Minor agricultural exports,08030090
353,Agricultural exports,Minor agricultural exports,08031010
354,Agricultural exports,Minor agricultural exports,08031090
355,Agricultural exports,Minor agricultural exports,08033010
356,Agricultural exports,Minor agricultural exports,08039010
357,Agricultural exports,Minor agricultural exports,08039090
358,Agricultural exports,Minor agricultural exports,08041001
359,Agricultural exports,Minor agricultural exports,08041009
360,Agricultural exports,Minor agricultural exports,08041010
361,Agricultural exports,Minor agricultural exports,08041020
362,Agricultural exports,Minor agricultural exports,08041910
363,Agricultural exports,Minor agricultural exports,08042001
364,Agricultural exports,Minor agricultural exports,08042002
365,Agricultural exports,Minor agricultural exports,08042009
366,Agricultural exports,Minor agricultural exports,08042010
367,Agricultural exports,Minor agricultural exports,08042020
368,Agricultural exports,Minor agricultural exports,08043001
369,Agricultural exports,Minor agricultural exports,08043002
370,Agricultural exports,Minor agricultural exports,08043009
371,Agricultural exports,Minor agricultural exports,08043010
372,Agricultural exports,Minor agricultural exports,08043020
373,Agricultural exports,Minor agricultural exports,08044001
374,Agricultural exports,Minor agricultural exports,08044009
375,Agricultural exports,Minor agricultural exports,08044010
376,Agricultural exports,Minor agricultural exports,08044020
377,Agricultural exports,Minor agricultural exports,08045001
378,Agricultural exports,Minor agricultural exports,08045002
379,Agricultural exports,Minor agricultural exports,08045003
380,Agricultural exports,Minor agricultural exports,08045004
381,Agricultural exports,Minor agricultural exports,08045005
382,Agricultural exports,Minor agricultural exports,08045006
383,Agricultural exports,Minor agricultural exports,08045010
384,Agricultural exports,Minor agricultural exports,08045020
385,Agricultural exports,Minor agricultural exports,08045030
386,Agricultural exports,Minor agricultural exports,08045040
387,Agricultural exports,Minor agricultural exports,08045050
388,Agricultural exports,Minor agricultural exports,08045060
389,Agricultural exports,Minor agricultural exports,08051001
390,Agricultural exports,Minor agricultural exports,08051009
391,Agricultural exports,Minor agricultural exports,08051010
392,Agricultural exports,Minor agricultural exports,08051020
393,Agricultural exports,Minor agricultural exports,08051090
394,Agricultural exports,Minor agricultural exports,08051901
395,Agricultural exports,Minor agricultural exports,08052001
396,Agricultural exports,Minor agricultural exports,08052009
397,Agricultural exports,Minor agricultural exports,08052010
398,Agricultural exports,Minor agricultural exports,08052020
399,Agricultural exports,Minor agricultural exports,08052110
400,Agricultural exports,Minor agricultural exports,08052910
401,Agricultural exports,Minor agricultural exports,08054001
402,Agricultural exports,Minor agricultural exports,08054009
403,Agricultural exports,Minor agricultural exports,08054010
404,Agricultural exports,Minor agricultural exports,08054020
405,Agricultural exports,Minor agricultural exports,08055001
406,Agricultural exports,Minor agricultural exports,08055009
407,Agricultural exports,Minor agricultural exports,08055010
408,Agricultural exports,Minor agricultural exports,08055020
409,Agricultural exports,Minor agricultural exports,08059001
410,Agricultural exports,Minor agricultural exports,08059002
411,Agricultural exports,Minor agricultural exports,08059005
412,Agricultural exports,Minor agricultural exports,08059009
413,Agricultural exports,Minor agricultural exports,08059010
414,Agricultural exports,Minor agricultural exports,08059020
415,Agricultural exports,Minor agricultural exports,08059050
416,Agricultural exports,Minor agricultural exports,08109001
417,Agricultural exports,Minor agricultural exports,08109002
418,Agricultural exports,Minor agricultural exports,08109009
419,Agricultural exports,Minor agricultural exports,08109010
420,Agricultural exports,Minor agricultural exports,08109020
421,Agricultural exports,Minor agricultural exports,08109090
422,Agricultural exports,Minor agricultural exports,08119010
423,Agricultural exports,Minor agricultural exports,08134001
424,Agricultural exports,Minor agricultural exports,08134009
425,Agricultural exports,Minor agricultural exports,08134010
426,Agricultural exports,Minor agricultural exports,08134090
427,Agricultural exports,Minor agricultural exports,09011101
428,Agricultural exports,Minor agricultural exports,09011109
429,Agricultural exports,Minor agricultural exports,09011110
430,Agricultural exports,Minor agricultural exports,09011190
431,Agricultural exports,Minor agricultural exports,09011201
432,Agricultural exports,Minor agricultural exports,09011209
433,Agricultural exports,Minor agricultural exports,09011210
434,Agricultural exports,Minor agricultural exports,09011290
435,Agricultural exports,Minor agricultural exports,10019001
436,Agricultural exports,Minor agricultural exports,10019009
437,Agricultural exports,Minor agricultural exports,10019010
438,Agricultural exports,Minor agricultural exports,10019090
439,Agricultural exports,Minor agricultural exports,10019110
440,Agricultural exports,Minor agricultural exports,10019910
441,Agricultural exports,Minor agricultural exports,10019990
442,Agricultural exports,Minor agricultural exports,10063010
443,Agricultural exports,Minor agricultural exports,10063011
444,Agricultural exports,Minor agricultural exports,10063019
445,Agricultural exports,Minor agricultural exports,10063020
446,Agricultural exports,Minor agricultural exports,10063021
447,Agricultural exports,Minor agricultural exports,10063029
448,Agricultural exports,Minor agricultural exports,10063030
449,Agricultural exports,Minor agricultural exports,10063040
450,Agricultural exports,Minor agricultural exports,10063090
451,Agricultural exports,Minor agricultural exports,10082001
452,Agricultural exports,Minor agricultural exports,10082009
453,Agricultural exports,Minor agricultural exports,10082010
454,Agricultural exports,Minor agricultural exports,10082090
455,Agricultural exports,Minor agricultural exports,10082110
456,Agricultural exports,Minor agricultural exports,10082190
457,Agricultural exports,Minor agricultural exports,10082910
458,Agricultural exports,Minor agricultural exports,10082990
459,Agricultural exports,Minor agricultural exports,12000010
460,Agricultural exports,Minor agricultural exports,12071010
461,Agricultural exports,Minor agricultural exports,12071090
462,Agricultural exports,Minor agricultural exports,12079909
463,Agricultural exports,Minor agricultural exports,12079910
464,Agricultural exports,Minor agricultural exports,12079990
465,Agricultural exports,Minor agricultural exports,12099910
466,Agricultural exports,Minor agricultural exports,12099990
467,Agricultural exports,Minor agricultural exports,12119010
468,Agricultural exports,Minor agricultural exports,12119090
469,Agricultural exports,Minor agricultural exports,12122910
470,Agricultural exports,Minor agricultural exports,12122990
471,Agricultural exports,Minor agricultural exports,12130009
472,Agricultural exports,Minor agricultural exports,12130010
473,Agricultural exports,Minor agricultural exports,12130090
474,Agricultural exports,Minor agricultural exports,13011001
475,Agricultural exports,Minor agricultural exports,13011009
476,Agricultural exports,Minor agricultural exports,13011010
477,Agricultural exports,Minor agricultural exports,13011090
478,Agricultural exports,Minor agricultural exports,13019001
479,Agricultural exports,Minor agricultural exports,13019009
480,Agricultural exports,Minor agricultural exports,13019010
481,Agricultural exports,Minor agricultural exports,13019090
482,Agricultural exports,Minor agricultural exports,13021910
483,Agricultural exports,Minor agricultural exports,13021990
484,Agricultural exports,Minor agricultural exports,14020009
485,Agricultural exports,Minor agricultural exports,14020090
486,Agricultural exports,Minor agricultural exports,14029090
487,Agricultural exports,Minor agricultural exports,14030001
488,Agricultural exports,Minor agricultural exports,14030009
489,Agricultural exports,Minor agricultural exports,14030010
490,Agricultural exports,Minor agricultural exports,14030090
491,Agricultural exports,Minor agricultural exports,14039010
492,Agricultural exports,Minor agricultural exports,14039090
493,Agricultural exports,Minor agricultural exports,14040902
494,Agricultural exports,Minor agricultural exports,14049001
495,Agricultural exports,Minor agricultural exports,14049002
496,Agricultural exports,Minor agricultural exports,14049008
497,Agricultural exports,Minor agricultural exports,14049009
498,Agricultural exports,Minor agricultural exports,14049010
499,Agricultural exports,Minor agricultural exports,14049019
500,Agricultural exports,Minor agricultural exports,14049020
501,Agricultural exports,Minor agricultural exports,14049080
502,Agricultural exports,Minor agricultural exports,14049091
503,Agricultural exports,Minor agricultural exports,14049092
504,Agricultural exports,Minor agricultural exports,14049099
505,Agricultural exports,Minor agricultural exports,18010001
506,Agricultural exports,Minor agricultural exports,18010010
507,Agricultural exports,Minor agricultural exports,18010020
508,Agricultural exports,Minor agricultural exports,33019001
509,Agricultural exports,Minor agricultural exports,33019002
510,Agricultural exports,Minor agricultural exports,33019006
511,Agricultural exports,Minor agricultural exports,33019007
512,Agricultural exports,Minor agricultural exports,33019008
513,Agricultural exports,Minor agricultural exports,33019020
514,Agricultural exports,Minor agricultural exports,33019060
515,Agricultural exports,Minor agricultural exports,33019070
516,Agricultural exports,Minor agricultural exports,33019080
517,Agricultural exports,Minor agricultural exports,33021001
518,Agricultural exports,Minor agricultural exports,33021002
519,Agricultural exports,Minor agricultural exports,33021009
520,Agricultural exports,Minor agricultural exports,33021010
521,Agricultural exports,Minor agricultural exports,33021020
522,Agricultural exports,Minor agricultural exports,33021090
523,Agricultural exports,Minor agricultural exports,53050082
524,Agricultural exports,Minor agricultural exports,53050089
525,Agricultural exports,Minor agricultural exports,53050091
526,Agricultural exports,Minor agricultural exports,53050092
527,Agricultural exports,Minor agricultural exports,53050094
528,Agricultural exports,Minor agricultural exports,53050099
529,Agricultural exports,Natural rubber,400122
530,Agricultural exports,Natural rubber,400130
531,Agricultural exports,Natural rubber,40011001
532,Agricultural exports,Natural rubber,40011009
533,Agricultural exports,Natural rubber,40011010
534,Agricultural exports,Natural rubber,40011090
535,Agricultural exports,Natural rubber,40012101
536,Agricultural exports,Natural rubber,40012102
537,Agricultural exports,Natural rubber,40012103
538,Agricultural exports,Natural rubber,40012104
539,Agricultural exports,Natural rubber,40012105
540,Agricultural exports,Natural rubber,40012109
541,Agricultural exports,Natural rubber,40012110
542,Agricultural exports,Natural rubber,40012120
543,Agricultural exports,Natural rubber,40012130
544,Agricultural exports,Natural rubber,40012140
545,Agricultural exports,Natural rubber,40012150
546,Agricultural exports,Natural rubber,40012190
547,Agricultural exports,Natural rubber,40012901
548,Agricultural exports,Natural rubber,40012902
549,Agricultural exports,Natural rubber,40012903
550,Agricultural exports,Natural rubber,40012904
551,Agricultural exports,Natural rubber,40012905
552,Agricultural exports,Natural rubber,40012906
553,Agricultural exports,Natural rubber,40012907
554,Agricultural exports,Natural rubber,40012908
555,Agricultural exports,Natural rubber,40012909
556,Agricultural exports,Natural rubber,40012910
