<new sheet>
sheet_name: GDP (Constant 2015)
,,,,,,,,,,,,,,,,,,,,,Rs. Million
"36. Transportation of goods and passengers (Land, Water and Air) & Warehousing activities",392465.5692086482,311044.43529156357,347429.80488862435,347289.8669003942,1398229.676883533,400619.86739271914,207665.29521323723,352734.96430123097,352291.7135112232,1313311.8924560775,400171.3546577413,257557.57316256416,302711.4646778705,364792.1816805147,1325232.5741786906,401713.10997128807,259462.41003964253,324038.49185068597,386901.671507731,1372115.6833693476,412964.1448366723
37. Postal and courier activities,4260.899038804407,3823.404292651522,4037.674364706132,4976.793485872587,17098.770960743102,4518.469370357299,3725.94531460769,4252.3843652286605,5122.848484639715,17619.647534833366,4580.5977869455255,4368.979564486579,4338.735413861598,5425.539826395697,18713.8515916894,4750.711051048595,4895.043583220332,4649.838795823499,5483.974867994234,19779.569298086662,4956.551018123628
"38. Accommodation, Food and beverage service activities",60662.2433623148,36807.092049846106,67146.72423642129,52360.064886226275,216976.12358091463,57692.07161494804,13555.201945159282,35211.24517615404,22097.067195751417,128555.5849320128,45269.377981166595,20923.67574618899,29664.788830533507,34885.11598579987,130742.959543689,56112.174507407784,28012.658571957945,41612.4346151936,40321.91220650658,166059.17790106588,59026.67725031277
39. Programming and broadcasting activities and audio video productions ,11214.66567609342,12357.433762849925,10668.207900134064,8512.073028672932,42752.38236775034,12389.52696697442,11201.79472529668,10895.994839843042,9353.538966519704,43840.85549863385,12077.507226374073,11752.939990379535,9181.423830589725,9149.043268224603,42160.91631556794,12390.305506546585,10124.243131943836,7805.467418328256,7190.119494890244,37510.135551708925,8837.985654154312
40. Telecommunication ,23926.58541618273,25187.10988547915,26826.65495184537,27384.14088182806,103324.62413533533,27570.88491249518,29660.366769230517,29937.114808535953,31676.261378429954,118844.64286869162,30005.577891631096,35576.79807328332,34498.6697554545,35582.34940492017,135663.39412528908,32389.921422806547,37672.31521938236,35393.68731585575,34462.83246100039,139918.75441904506,31099.685830204362
"41. Computer programming consultancy and related activities, Information service activities",45539.057926972804,43741.14452306126,48623.2034249329,37730.60236963499,175634.00901211452,49888.59116497027,48215.659681809884,50508.86088588674,46279.40377343991,194892.515071771,58288.222059267704,62059.43981688141,61693.14491312585,61929.703343609755,243970.50913288468,65202.519657422454,59060.1745388938,58457.67501647235,55734.45636606698,238454.82557885558,60488.43925368818
"42. Financial Service activities, except insurance and pension funding and auxiliary financial services",102804.54614791361,149284.21382997892,130344.36059721938,127933.95179661282,510367.0753717248,110415.59690610124,161308.58710130432,143810.6796523715,141821.90173955783,557356.755399335,146811.03552017314,150355.94353031932,152756.16950635915,146182.3926102713,596105.5421671229,165333.67721818972,137026.49573367878,114623.408901735,113290.03981596546,530273.619669569,110516.37022852225
"43. Insurance, reinsurance and pension funding except compulsory social security",27253.653302553026,28764.792646400285,31090.292437364264,33440.86550390758,120549.60389022515,27370.083899309306,24571.118224304693,32274.112321597902,33379.237171672416,117594.5516168843,37594.6628557961,35783.287781540916,37009.37417402251,38277.67908862929,148665.00389998883,28640.369682582044,19360.397789140505,14925.255243830441,15583.233711335371,78509.25742688838,17665.155846133162
"44. Real estate activities, Including Ownership of dwelling",152393.41200732638,150937.05045158623,152458.72194638362,154441.5803537293,610230.7647590255,159676.5227597562,126997.14367226939,157752.74918335097,159832.17818888367,604258.5928042602,167606.2989461955,133739.54022862157,164150.4127073662,165074.2127075761,630570.4655897594,174077.59366593685,121109.67619821287,130172.72531155961,129113.43843876885,554473.4356144781,142165.2439310521
45. Professional services,63198.48147050945,64985.51596628404,78052.25119509394,91225.44265127069,297461.68418568885,62692.62826342776,56010.551178979615,78984.08676760875,90093.35418856319,287780.62600304815,68360.43073343513,59189.475541466054,78850.53771254668,95489.15299860708,301889.59298605495,68324.48548442773,57769.63606070544,77223.33617600832,86523.42073766317,289840.8674588046,65348.83527431715
46. Public administration and defense; compulsory social security,133396.13293927597,151807.2168721143,147934.87853461053,172800.24203066225,605938.4700446269,134183.9350977575,153370.25140895727,149878.20995145923,178743.25632550902,616175.653783683,135245.02246769101,153886.12682167912,150614.1509332715,182089.0426303128,621834.3428529545,138919.30417829528,156499.43116484166,154618.75179469964,179175.60815125314,629213.0962890898,137835.4601582529
47. Education,62769.0481576085,73842.47859885506,71394.9676799783,75598.07016653955,283604.5638875429,64843.21362117061,75458.1955386083,68562.66609096955,75886.84141726604,284750.91572172294,69734.85197021741,79689.85627893945,68872.98281475162,72177.53162314191,290475.22468705045,70150.72876182817,83633.55380860994,71584.22584985167,76141.91236910116,301510.419789391,72295.96998857953
"48. Human health activities and Residential care activities, social work activities",50140.33697465547,57014.733837048676,64116.346702407194,63864.76540044465,235136.18285846454,51068.89317005341,59380.33918371218,67515.56273619279,68770.44983880747,246735.24383200915,52303.72724493586,61660.17330867375,74330.05285875929,72187.49399262798,260481.84740499686,51744.94766897961,55412.16736769269,67855.84249929112,63624.55670421689,238637.51524018025,47231.51921031794
49. Other personal service activities,289667.4455430699,220984.72194596723,257710.62125566052,284617.48977877107,1052980.2855234686,293697.40477392863,147093.5133194535,254433.65033924277,288675.0835284399,983899.6509610647,298491.6370741526,157046.73618919708,245143.76732976257,291979.3623713967,992661.5039645091,288439.11304001644,156870.6683912239,245456.9867011863,305662.1894244296,996428.9595568561,292309.507320259
Equals Gross Value Added (GVA) at Basic Price,3176081.2017851127,2810916.799221115,3166359.836482278,3036987.6052436866,12190345.851119906,3171417.1550600138,2409181.6197515344,3178212.566252985,3073306.3264821656,11832117.729886219,3331310.650889823,2707842.2108708546,3122558.265167799,3140348.3880549194,12302059.562983397,3316234.6008183816,2569973.1456551393,2806779.951498271,2788376.5966597074,11481364.279531498,2969408.4299558313
Taxes less subsidies on products ,240759.78332060063,255897.28345321526,255616.82660934704,263656.5943000635,1015930.487,215189.7847686021,132039.1311458023,204553.96398621716,211649.49318351934,763432.3730841409,206688.58281424697,185209.18085616012,153252.26087019476,190724.4622701937,735874.4868107956,203165.46372551637,110100.95802317238,93873.95166173775,129344.15394616342,536484.5273565899,144778.88480011467
Equals Gross Domestic Product (GDP) at  Market Price,3416840.9851057134,3066814.0826743306,3421976.663091625,3300644.1995437504,13206276.338119905,3386606.939828616,2541220.7508973368,3382766.530239202,3284955.8196656853,12595550.10297036,3537999.23370407,2893051.391727015,3275810.5260379934,3331072.850325113,13037934.049794193,3519400.064543898,2680074.1036783117,2900653.903160009,2917720.7506058705,12017848.806888089,3114187.314755946
(a) Based on the GDP estimates (base year 2015),,,,,,,,,,,,,,,,,,,,,Source: Department of Census and Statistics
(b) Revised,,,,,,,,,,,,,,,,,,,,,
(c) Provisional,,,,,,,,,,,,,,,,,,,,,

