<new sheet>
sheet_name: 4.02
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs. Million
,,Reserve Money (M0)  (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,"Narrow Money (M1) 
(c)    
 (1) + (2)",Time and Savings Deposits held by the Public,"Broad Money (M2b) 
(d)            
 (3) + (4)",,Net Foreign Assets of Monetary Authorities (e),Net Foreign Assets of Commercial Banks ,"Net Foreign Assets (NFA) 
(5) + (6)",Net Credit granted to the Government by Central Bank,Net Credit granted to the Government by Commercial Banks,"Net Credit granted to the Government (NCG)
(8) + (9)",Credit granted to Public Corporations by Commercial Banks,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit 
(10) + (11) + (12)",Other Items (net) ,"Net Domestic Assets  (NDA)       
 (13) + (14)","Broad Money (M2b)
 (7) + (15)"
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,2005-02-01 00:00:00,174666,707352,,103985.298482,94616.752267,198602.050749,679597.5948032404,878199.6455522403,,145225.7,35813.22473747896,181038.92473747896,104989.1,111502.57319346942,216491.6731934694,27181.416789000003,638927.3836752282,882600.4736576977,-185440.0528429362,697160.4208147614,878199.3455522404
,2005-03-01 00:00:00,190755,721095,,108271.76339100001,99822.917018,208094.68040900002,683566.5839348054,891661.2643438054,,162058.6,19213.112574537292,181271.7125745373,100888.6,116760.22752000214,217648.82752000215,17812.596448,645268.7513928489,880730.175360851,-170340.97944672767,710389.1959141233,891660.9084886606
,2005-04-01 00:00:00,181861,728312,,107470.77046900001,99992.777288,207463.54775700002,697488.2866330101,904951.8343900102,,164811.5,21512.83349002326,186324.33349002327,92020.6,132546.94979531103,224567.54979531103,20700.632603380218,654444.3658236174,899712.5482223087,-181084.94732232185,718627.6008999869,904951.9343900102
,2005-05-01 00:00:00,179195,729253,,104506.714853,100510.69340999999,205017.408263,696649.6964269853,901667.1046899853,,158906.09999999998,16817.855024103177,175723.95502410317,91071.3,140002.34396276198,231073.64396276197,20691.29296265009,670004.3324585144,921769.2693839264,-195826.11961909872,725943.1497648277,901667.1047889309
,2005-06-01 00:00:00,179817,738411,,104918.43295799999,103425.493888,208343.926846,704815.4749978483,913159.4018438483,,160767.00000000003,22530.27951466501,183297.27951466505,88718.09999999999,143712.6563982382,232430.75639823818,21498.10949,679518.582337335,933447.4482255732,-203585.356633345,729862.0915922282,913159.3711068932
,2005-07-01 00:00:00,184647,749606,,107618.065343,107460.081301,215078.146644,713225.6817367217,928303.8283807216,,159186.3,20457.198862562276,179643.49886256226,94655.90000000001,135843.44006892765,230499.34006892768,17901.374396392803,701194.4755432348,949595.1900085553,-200934.86049039592,748660.3295181594,928303.8283807216
,2005-08-01 00:00:00,184289,757307,,107976.767032,104102.847564,212079.614596,733458.4484147932,945538.0630107932,,162944.60000000003,22127.87720006241,185072.47720006245,93027,146682.2091044109,239709.2091044109,17953.1945122176,741874.5748533041,999536.9784699326,-239071.3926592016,760465.5858107309,945538.0630107934
,2005-09-01 00:00:00,187894,775449,,109097.97251600001,106155.091032,215253.063548,743859.0393639082,959112.1029119082,,174115.3,4237.551537574,178352.851537574,85733.5,153451.4859383948,239184.9859383948,19087.8957918896,757842.7012072412,1016115.5829375256,-235356.3315631914,780759.2513743342,959112.1029119082
,2005-10-01 00:00:00,191179,799305,,110003.37142,114450.8649,224454.23632,764318.8162349296,988773.0525549296,,181619.30000000002,8159.672135487206,189778.97213548722,82197.8,167119.8864126104,249317.6864126104,17777.594141,775571.8978502128,1042667.1784038232,-243673.0979843807,798994.0804194425,988773.0525549297
,2005-11-01 00:00:00,190969,812386,,109182.31560500001,116388.47318399999,225570.788789,780785.232399269,1006356.021188269,,186444.90000000005,1986.7889399999985,188431.68894000005,76571.7,175628.40347426897,252200.10347426898,16725.148244,786900.158211,1055825.409929269,-237901.07768100005,817924.3322482689,1006356.0211882689
