<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Other Deposits,51045.244999999995,48184.621000000276,47475.789000000106,50001.226000000024,51211.94799999986,51402.22999999975,54715.53699999978,51731.20999999996,53478.044999999925,55766.808000000194,61282.966000000015,63334.74399999995,67250.79300000006,65277.9450000003,67873.6800000004,80251.55600000033,73607.75400000019,72042.64400000032,75879.62199999997,103163.58100000024,79292.23199999984,74080.36900000088,81835.04300000053,92092.11700000009,89610.97999999998,99190.25300000049,107160.74800000014,110111.49599999981,115424.196,113210.93899999978,115636.99599999981,117195.66900000023,115561.96599999955,114950.93799999962,119394.43599999975,115775.01899999939,125525.98400000017,124080.11799999978,123434.99500000011,135682.40999999922,143849.23599999957,141497.43799999915,150224.3019999992,161194.92899999954,146298.58100000117,137083.06999999937,141440.4190000007,143693.48400000017,159092.2549999999,163941.40899999905,182257.3509999998,191677.6370000001,210623.5750000002,222298.38300000038,254481.49399999995,257382.38299999945
FCY Deposits,367080.137,398656.83499999996,383835.954,376828.468,393750.951,408756.635,430441.82300000003,421843.68899999995,414148.48600000003,413512.294,426051.81299999997,461661.40800000005,455046.88,455376.771,459888.778,490900.87,557492.0630000001,589481.742,601579.1429999999,608354.968,614681.0109999999,614272.573,656427.387,670592.96,686613,711667.689,712721.2699999999,765610.3649999999,787753.559,824863.421,863600.162,924752.878,941190.8629999999,954460.98,983294.495,1033080.95,1048482.344,1074672,1109917.385,1159108.97,1160842.637,1200892.148,1298366.74,1423801.2789999999,1423981.9719999998,1427592.193,1479623.9499999997,1498308.0010000002,1587352.298,1587545.979,1690586.0070000002,1826337.198,1961043.2160000002,2090210.54,2166414.242,2118831.3200000003
Time Deposits,207150.971,228558.936,219122.881,224022.316,233541.64,255879.382,261628.416,249568.452,244656.867,252879.89,260808.247,262513.428,258045.517,239847.985,262619.878,284469.51,339584.803,358465.216,357432.437,373400.43,381400.067,375089.646,411874.999,430513.581,431099.532,435165.444,450319.754,462771.998,500525.326,520245.337,544361.95,575536.278,596133.567,597587.381,614160.611,628719.852,649859.2,676184.486,715485.659,724952.984,724786.483,768212.074,815339.38,887508.107,913292.395,920988.975,963839.516,977121.654,1017985.301,1012805.949,1119522.251,1188750.642,1305489.941,1399231.932,1400655.064,1360700.619
Savings Deposits,117880.703,123428.54,124636.886,109883.922,111223.725,115475.047,119473.506,125149.746,106395.403,115505.213,117645.169,134888.013,126579.757,140948.979,135183.995,140783.353,146135.016,157193.621,160904.842,165211.126,157171.444,173978.775,170467.117,165989.274,183707.618,196023.268,179985.586,207199.555,202557.659,211042.657,220760.265,237867.073,235455.784,246135.887,246968.694,266958.461,262371.562,257170.387,269603.597,299267.506,296905.386,284725.824,311152.059,337349.1,332148.023,328295.89,329042.523,340275.776,361298.502,353131,369027.134,402007.227,424198.873,429982.224,463017.901,468774.858
Current Deposits,29684.515,25932.195,23783.211,25439.035,37261.143,22535.806,26921.127,27270.683,32675.127,29822.637,31160.677,48808.521,53280.93,55713.252,47563.243,51067.154,56106.735,56244.79,62823.64,50231.89,55162.587,47284.955,55726.15,55003.432,53828.472,57499.61,57840.639,72420.425,62321.02,69825.608,73243.691,85558.912,83985.708,83366.326,95285.63,111547.327,108955.983,110757.962,96162.46,107082.646,102405.531,109443.115,134031.339,156912.702,139234.104,132152.719,146900.644,138615.699,154170.131,145307.331,145255.877,168654.921,168874.168,180369.851,204389.24,197584.696
Other Deposits,12363.947999999975,20737.16399999999,16292.976000000024,17483.195000000007,11724.443000000028,14866.400000000023,22418.774000000034,19854.80799999996,30421.089000000036,15304.554000000004,16437.719999999972,15451.446000000054,17140.676000000036,18866.55500000005,14521.661999999953,14580.853000000003,15665.509000000078,17578.114999999874,20418.22399999993,19511.521999999997,20946.912999999942,17919.197000000044,18359.120999999926,19086.67299999995,17977.378000000026,22979.36699999997,24575.290999999852,23218.386999999755,22349.554000000004,23749.819000000018,25234.256000000052,25790.61499999999,25615.803999999887,27371.38599999994,26879.55999999994,25855.30999999994,27295.599000000162,30559.165000000037,28665.668999999994,27805.83400000003,36745.2370000002,38511.13500000001,37843.96200000006,42031.36999999988,39307.44999999972,46154.60899999994,39841.26699999976,42294.87200000021,53898.36400000006,76301.69900000002,56780.74500000011,66924.40800000005,62480.23399999994,80626.53300000005,98352.03700000001,91771.14700000035
Borrowings,413672.704,433569.62600000005,434309.796,400130.33,404386.83200000005,359407.77599999995,335616.435,334609.75899999996,343201.512,367364.80299999996,421378.243,450292.731,483658.87600000005,526691.638,521563.072,566709.016,671345.959,758323.306,727311.6429999999,727132.245,810210.119,834016.979,838602.199,825503.854,817790.7799999999,892118.062,1018731.302,1186197.182,1268847.519,1238695.2249999999,1387369.474,1518958.6490000002,1597880.523,1533702.296,1473453.4470000002,1445162.758,1540358.9619999998,1482953.0710000002,1380309.0259999998,1342446.166,1347195.531,1259646.424,1442496.4270000001,1571108.202,1403049.27,1384030.7929999998,1473855.8820000002,1536753.529,1685968.2729999998,1570642.1800000002,1601823.5639999998,1586766.895,1657963.851,1734907.3550000002,1890351.06,2054498.2870000002
LKR Borrowings,247035.487,247213.16,260995.907,272258.487,277081.622,248016.55999999997,227765.46500000003,238786.74899999998,247595.296,277128.784,307331.26999999996,304069.53099999996,318912.524,326844.074,328740.13800000004,308720.477,323937.944,328033.689,308482.112,297650.37700000004,310121.76100000006,319930.213,289152.99600000004,295580.484,331205.446,359439.12000000005,436280.52800000005,474823.7569999999,504677.61600000004,490020.19800000003,585127.8919999999,586519.376,651698.396,611692.197,589002.3770000001,566464.842,600435.2019999999,546054.7309999999,485601.52900000004,490918.025,531541.842,529537.5239999999,573084.836,616528.455,581216.639,524109.03200000006,555624.5520000001,567160.1460000001,535478.2890000001,541964.6410000001,623357.073,704126.0229999999,799532.794,860834.75,1141114.9179999998,1383192.121
FCY Borrowings,166637.217,186356.46600000001,173313.889,127871.843,127305.20999999999,111391.21599999999,107850.97,95823.01000000001,95606.216,90236.019,114046.973,146223.2,164746.352,199847.564,192822.934,257988.539,347408.015,430289.617,418829.531,429481.86799999996,500088.358,514086.766,549449.203,529923.37,486585.33400000003,532678.9419999999,582450.774,711373.425,764169.903,748675.027,802241.5819999999,932439.273,946182.127,922010.0990000002,884451.07,878697.916,939923.7599999998,936898.3400000001,894707.497,851528.1410000001,815653.689,730108.8999999999,869411.5909999998,954579.747,821832.6309999999,859921.761,918231.3299999998,969593.3829999999,1150489.984,1028677.5389999999,978466.4910000002,882640.8720000001,858431.057,874072.6049999999,749236.142,671306.166
Other Liabilities,118630.22499999986,116497.03299999936,126810.03300000075,120486.78199999966,112946.73200000031,120376.0043408596,121904.80342515046,123474.20132130012,136774.17958292505,130514.45199999958,144824.3160000001,134460.6929999995,149327.33999999939,148759.2749999999,156050.61899999948,147628.66599999974,186764.24599999934,192442.25700000022,199467.96899999958,200328.4750000001,221428.80000000075,223673.9249999998,238284.8479999993,225307.1490000002,231483.78700000048,235865.20500000007,227908.60300000012,230783.95300000068,242782.6980000008,240229.0100000007,247066.30599999987,242218.60199999902,262673.59100000095,272466.61599999946,288188.14800000004,302822.33200000133,329056.9089999981,327398.4149999982,363999.22300000116,366086.58300000057,393498.64599999785,380918.3919999972,413389.6319999993,452687.0889999997,468400.8499999996,451421.0660000015,463339.87099999934,480330.8300000001,491321.88299999945,479577.45999999903,488105.09699999914,504358.597000001,533446.7410000004,527987.3670000006,521723.70900000073,528391.9030000009
Equity Capital & Reserves,169118.33399999997,170905.52399999998,175657.919,179050.434,184267.00699999998,190259.657,195861.031,197909.53399999999,201422.91500000004,217212.12600000005,223641.354,236380.63199999998,242748.36200000002,257103.538,284327.833,305428.8219999999,323147.132,335956.628,353423.596,366930.32700000005,380083.24400000006,390794.90700000006,404684.71499999997,418896.936,430992.61199999996,446993.13,479149.4870000001,490744.48400000005,502777.15699999995,520948.63399999996,542980.7409999999,574146.851,584927.419,604984.736,622118.3759999999,645940.14,668049.9890000001,710765.207,758639.808,793226.4000000001,817952.63,852562.073,887504.6520000001,940796.562,949630.711,988231.954,1016798.392,1042187.9199999999,1065390.651,1092202.4700000002,1122958.8110000002,1150381.6490000002,1188309.9549999998,1235486.087,1279845.0729999999,1329016.548


Licensed Specialised Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liabilities, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,413720.50499999995,422060.002,433588.914,437535.55,453890.56499999994,468998.542,490564.05399999995,506671.64499999996,522775.90499999997,540901.1429999999,553210.645,575955.99,592761.243,609380.294,627156.9,673736.649,675365.638,695399.906,708827.945,742531.58,771034.525,787523.906,893477.605,919325.282,943382.357,964440.416,1022717.827,1087471.725,1103898.453,1144985.553,1172555.994,1103174.011,1120525.456,1140001.71,1166652.193,1203245.119,1224343.466,1278927.042,1329524.097,1366205.875,1406548.279,1444806.66,1379726.341,1421584.847,1453035.732,1482854.148,1505338.045,1578700.01,1628689.657,1679256.049,1749779.994,1837444.933,1933125.424,1982516.096,2059947.207,2103018.893
Deposits,287944.585,296137.229,306073.402,317984.64200000005,331456.736,342430.8939999999,365389.361,380983.97,392363.5229999999,402481.909,413792.4650000001,432606.18000000005,449052.61699999997,462377.73000000004,480973.66200000007,513813.332,515352.50999999995,522905.1290000001,539200.825,564077.2509999999,581813.169,596740.601,608123.5929999999,617080.632,648583.5750000001,661686.5700000001,688150.528,709670.5650000002,723448.354,748873.0959999999,768980.87,764155.038,787621.0909999999,800741.0889999999,822248.139,846145.5070000001,856238.6780000001,912294.0819999998,943329.9089999999,974573.698,1003308.442,1032997.9709999999,1039475.5009999999,1084612.1840000001,1110242.9679999999,1161420.3399999999,1205991.648,1277529.252,1330530.3209999998,1397691.4430000002,1478731.585,1553620.529,1627771.16,1683269.895,1723441.3890000002,1762632.714
LKR Deposits,286330.494,294350.517,304236.24900000007,315845.006,328860.539,339375.9039999999,362056.07499999995,377404.257,388571.8119999999,398564.155,409532.1380000001,428301.19700000004,444303.01999999996,457632.00800000003,476288.4970000001,508907.793,509819.77699999994,517229.06600000005,532725.031,557054.13,572355.725,587775.818,598972.8369999999,607703.799,642538.8720000001,655527.246,682051.504,703370.807,717204.835,742132.5569999998,761919.3240000001,756852.533,779594.1059999999,792320.656,814042.7459999999,837752.805,847351.007,903149.7409999998,934204.42,965305.512,993958.679,1023459.8929999999,1029478.3659999999,1073734.385,1099409.5709999998,1150338.629,1194224.887,1265662.9840000002,1318086.1579999998,1384899.245,1464080.596,1538222.2480000001,1611470.669,1666719.635,1708252.5400000003,1747217.973
Time Deposits,198576.703,199697.885,217052.783,226835.26700000002,238889.775,247197.42700000003,266793.289,279134.993,266679.041,271314.508,296363.966,310176.162,321362.575,331909.161,345937.859,376191.686,375126.781,383797.114,397631.536,421517.142,435208.822,448274.075,455646.672,459967.927,488479.469,494865.051,513451.09,519799.065,526718.558,543331.384,551898.593,543761.892,558003.414,566852.74,585316.722,606090.03,608594.139,660124.942,685936.143,712144.085,733922.145,760278.608,763111.12,806290.064,825540.758,870639.505,908134.254,969662.545,1010389.186,1055629.207,1111623.899,1164722.338,1219632.047,1260072.666,1285448.765,1319714.111
Savings Deposits,86643.467,85685.049,86076.40199999999,86546.133,87389.695,89623.528,92566.536,96655.40000000001,103206.294,106868.728,111826.707,115798.511,120612.562,123368.57,125847.931,128093.213,130204.179,128933.537,130305.203,130308.658,131867.905,134198.239,137899.58,141507.273,147529.793,154133.861,162077.983,177210.457,184228.697,192448.709,203209.917,208505.688,216310.882,219866.35,222107.515,227491.988,234308.351,238486.774,245033.259,250302.511,257061.232,253138.788,255526.766,257921.274,263971.988,269326.694,274963.357,285147.982,296344.049,316386.293,338675.641,360230.387,378215.464,392810.722,408211.071,413525.853
Current Deposits,0,7802.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Deposits,1110.3239999999641,1164.9670000000042,1107.0640000000712,2463.6059999999707,2581.0690000000177,2554.948999999906,2696.25,1613.8639999999432,18686.476999999897,20380.919000000053,1341.4650000000838,2326.524000000034,2327.8829999999725,2354.277000000002,4502.707000000111,4622.894000000029,4488.816999999923,4498.415000000037,4788.291999999899,5228.329999999958,5278.998000000021,5303.503999999957,5426.584999999963,6228.599000000046,6529.610000000102,6528.334000000032,6522.430999999866,6361.285000000033,6257.5800000000745,6352.4639999998035,6810.814000000129,4584.953000000096,5279.8099999999395,5601.565999999992,6618.508999999962,4170.787000000011,4448.516999999993,4538.02499999979,3235.01800000004,2858.9160000000848,2975.302000000025,10042.496999999974,10840.479999999981,9523.04700000002,9896.82499999972,10372.429999999935,11127.27600000007,10852.45700000017,11352.922999999952,12883.745000000112,13781.055999999866,13269.523000000045,13623.158000000054,13836.246999999974,14592.704000000376,13978.008999999845
FCY Deposits,1614.091,1786.712,1837.153,2139.636,2596.197,3054.99,3333.286,3579.713,3791.711,3917.754,4260.327,4304.983,4749.597,4745.722,4685.165,4905.539,5532.733,5676.063,6475.794000000001,7023.120999999999,9457.444,8964.783,9150.756,9376.832999999999,6044.703,6159.324,6099.024,6299.758,6243.519,6740.539,7061.546,7302.505,8026.985,8420.433,8205.393,8392.702,8887.671,9144.341,9125.489,9268.186,9349.763,9538.078,9997.135,10877.799,10833.397,11081.711,11766.761,11866.268,12444.163,12792.198,14650.989,15398.281,16300.491,16550.26,15188.849,15414.741
Time Deposits,889.66,986.242,1062.277,1313.651,1623.152,1972.721,2168.323,2325.199,2440.292,2542.798,2792.282,2787.831,3083.343,3046.813,3043.611,3155.33,3613.572,3772.631,4570.936,5060.594,7549.137,7030.282,7178.843,7275.931,3963.261,4025.452,4073.078,4085.371,4013.128,4389.75,4574.903,4734.893,5349.94,5749.573,5524.05,5628.74,5978.472,6287.85,6290.073,6277.753,6331.07,6591.796,6922.41,7502.19,7520.256,7836.38,8366.235,8325.049,8681.09,8937.213,10690.17,11204.302,11716.336,11730.282,10383.682,10681.945
Savings Deposits,724.431,800.47,774.876,825.985,973.045,1082.269,1164.963,1254.514,1351.419,1374.956,1468.045,1517.152,1666.254,1698.909,1641.554,1750.209,1919.161,1903.432,1904.858,1962.527,1908.307,1934.501,1971.913,2100.902,2081.442,2133.872,2025.946,2214.387,2230.391,2350.789,2486.643,2567.612,2677.045,2670.86,2681.343,2763.962,2909.199,2856.491,2835.416,2990.433,3018.693,2946.282,3074.725,3375.609,3313.141,3245.331,3400.526,3541.219,3763.073,3854.985,3960.819,4193.979,4584.155,4819.978,4805.167,4732.796
Current Deposits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Deposits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borrowings,67721.896,65243.37899999999,65233.39899999999,57992.66300000001,57131.565,57079.535,56155.770000000004,54733.04000000001,57297.47200000001,55618.341,59063.44400000001,56620.211,54539.184,57679.49100000001,54978.536,68779.90699999999,65954.87000000001,74912.086,70786.037,77185.279,81973.68599999999,78729.57199999999,171922.43799999997,189886.937,179421.739,187164.61899999998,224956.163,262011.45399999997,263916.96,272246.63999999996,283343.02300000004,239430.614,232393.25300000003,237536.069,245549.50899999996,251251.046,263241.629,251427.743,266053.434,264615.62399999995,269294.613,273637.511,203062.715,192275.99200000003,193010.35899999997,173410.588,146656.32400000002,142641.608,137016.467,118952.48800000001,106056.702,105454.449,114413.461,104815.01999999999,130308.08999999997,126697.64600000001
LKR Borrowings,37499.591,33445.395,32296.053,34469.852999999996,33407.297999999995,33697.119000000006,31660.48,28794.577999999998,31279.589,30095.912,33637.477,50534.843,48462.899,51760.55600000001,49033.17300000001,58596.34,55548.390999999996,63498.30599999999,58895.39200000001,65776.012,64916.18700000001,61520.346999999994,56848.732,63981.709,57912.78400000001,66615.333,71734.473,107906.36499999999,108070.242,116641.41,119019.714,93449.27299999999,85731.022,88936.38600000001,96886.76000000001,99294.95,108961.12799999998,95757.89199999999,110624.224,108907.683,111174.881,112828.37599999999,141124.45999999996,125618.36200000001,128759.541,111979.451,128795.73700000001,127979.86400000002,120190.563,100826.48300000001,88013.15299999999,90397.16,91362.40999999999,85122.602,110529.457,99293.296
FCY Borrowings,30222.305,31797.983999999997,32937.346,23522.809999999998,23724.267,23382.415999999997,24495.29,25938.462,26017.882999999998,25522.429,25425.966999999997,6085.368,6076.285000000001,5918.9349999999995,5945.363,10183.567000000001,10406.479000000001,11413.78,11890.645,11409.267,17057.499,17209.225000000002,115073.70599999999,125905.22799999999,121508.95499999999,120549.286,153221.69,154105.089,155846.718,155605.22999999998,164323.309,145981.34100000001,146662.231,148599.683,148662.749,151956.096,154280.501,155669.851,155429.21,155707.941,158119.732,160809.135,61938.255,66657.63,64250.818,61431.136999999995,17860.587,14661.744,16825.904,18126.005,18043.549000000003,15057.289,23051.051,19692.418,19778.633,27404.35
Other Liabilities,19056.307999999903,19695.40399999998,20880.41200000001,21829.53099999996,24165.41399999999,26949.46600000013,24596.57799999992,25687.988999999943,25639.276000000013,29536.035999999905,25533.757999999914,28478.15699999989,29001.95900000003,28239.042999999947,28367.322999999975,25723.457000000053,26188.96900000004,30479.913999999873,31167.119999999995,32288.927000000025,35231.27400000009,40487.99300000002,41556.491000000155,41644.005999999936,40128.911999999895,41531.32400000002,34247.555999999866,38023.33899999992,34441.75199999986,42157.53900000034,36867.46399999969,37008.4439999999,34142.25600000005,37251.52799999993,38364.75399999996,44503.941999999806,42460.841000000015,47747.11300000013,49780.10800000024,53538.723,52419.77499999991,56123.65599999996,54036.7790000001,55139.07099999976,57442.8200000003,61420.006000000285,65135.664999999804,70819.18599999999,72961.98100000015,71184.17399999988,71898.7109999999,74587.79599999986,78352.21100000036,74571.48899999983,77846.48299999954,78271.67900000024
Equity Capital & Reserves,38997.71599999999,40983.990000000005,41401.70100000001,39728.714,41136.85,42538.647000000004,44422.345,45266.64600000001,47475.634,53264.85700000001,54820.978,58251.442,60167.48299999999,61084.03,62837.379,65419.95300000001,67869.28899999999,67102.777,67673.963,68980.12299999999,72016.396,71565.73999999999,71875.08299999998,70713.70700000001,75248.13100000001,74057.90299999999,75363.58000000002,77766.367,82091.387,81708.27799999999,83364.63699999999,62579.91499999999,66368.856,64473.024000000005,60489.791,61344.624,62402.31800000001,67458.10399999999,70360.646,73477.83,81525.449,82047.52200000001,83151.34599999999,89557.6,92339.58499999999,86603.21399999999,87554.408,87709.96399999999,88180.88799999998,91427.944,93092.99599999998,103782.15899999999,112588.592,119859.69200000001,128351.245,135416.854

* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

<new sheet>
sheet_name: Constituents of Regu Capital

Banking Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),182060.245,184164.753,184948.574,186149.109,200018.793,203995.595,204736.699,225637.499,223633.445,234716.265,246778.176,278519.706,273807.482,284020.464,304539.52,350725.97,337607.055,351374.021,360382.772,404471.043,395911.627,404589.164,416157.186,461913.037,457403.156,466934.149,484292.148,537087.691,529702.486,542621.375,549667.013,584179.16,577258.833,590647.307,597175.635,659387.078,657254.697,699911.506,721530.84,765347.949,794722.781,835124.2,868314.674,934155.83,920453.208,959671.986,974324.381,977629.777,1020125.048,1020506.445,1027608.458,1058861.74,1101208.0777868219,1124884.074,1159080.643,1171271.858
Deductions/Adjustments (Tier I),15912.936,14296.538,13927.809,8599.537,14363.441,15588.589,15291.444,13684.043,14743.211,22751.395,18928.451,18574.332,17133.25,18216.426,24716.058,20492.775,21172.551,23297.375,26410.909,22593.347,25074.39,23936.524,29066.129,23259.912,25029.235,24590.449,23021.626,24666.88,27530.265,29042.531,31725.626,24213.012,23510.875,22293.645,26019.143,25645.025,27202.49,27573.998,38964.351,34935.639,39105.791,40809.412,41484.792,43542.298,44414.941,44522.716,51641.154,49706.343,54690.753,50356.782,59460.877,59105.494,61369.421351272504,65461.779,86301.054,87486.382
Tier 1 Capital (After Regulatory Adjustments),166147.309,170429.007,171020.765,177549.572,185655.352,188407.006,189445.255,211953.456,208890.234,211964.87,227849.725,259945.374,256674.232,265804.038,279823.462,330233.195,316434.504,328076.646,333971.863,381877.696,370837.237,380652.64,387091.057,438653.125,432373.921,442343.7,461270.522,512420.811,502172.221,513578.844,517941.387,559966.148,553747.958,568353.662,571156.492,633742.053,630052.207,672337.508,682566.489,730412.31,755616.99,794314.788,826829.882,890613.532,876038.267,915149.27,922683.227,927923.434,965434.295,970149.663,968147.581,999756.246,1039838.6564355494,1059422.295,1072779.589,1083785.476
Tier 2 Capital (Before Regulatory Adjustments),34789.763,35153.218,36319.612,44805.214,46207.349,45330.538,43582.065,42824.387,42738.477,46810.103,47701.856,46266.642,45337.059,41575.817,44085.965,52829.479,53070.554,55939.83,55398.45,59858.911,69069.348,75374.333,75918.44,95512.107,95525.948,93019.408,98944.846,104484.255,107998.179,111097.695,111936.818,117103.978,129735.776,130326.334,134716.311,171084.213,169713.18,171626.109,161113.874,172049.488,205526.799,203435.978,217229.806,216933.71,216407.169,222939.908,245741.544,257723.26,250632.641,245378.347,270730.102,266947.656,258563.4802838856,268187.251,278211.496,280170.543
Deductions/Adjustments (Tier II),11588.249,11309.988,11550.34,7323.649,10841.249,10852.049,11141.084,11340.083,12024.575,13497.733,12506.594,12146.673,12450.645,13210.723,13560.857,14169.855,14491.283,14374.526,14689.595,14229.509,14231.482,14042.333,14224.825,15935.582,15616.01,15968.102,16657.789,17017.947,17588.478,17804.594,18208.282,15755.23,15517.382,15676.253,16108.393,17676.26,17785.732,18880.916,5385.567,5163.283,5906.386,5916.378,5801.263,5162.077,5147.449,4986.62,4878.918,4542.918,4278.332,3951.741,3902.382,1325.903,1064.279,934.149,593.144,345.135
Capital Base (Regulatory Capital),189348.823,194271.945,195790.037,215031.137,221021.452,222885.495,221886.236,243437.76,239604.136,245277.24,263044.987,294065.343,289560.646,294169.132,310348.57,368892.819,355013.775,369641.95,374680.718,427507.098,425675.103,441984.64,448784.672,518229.65,512283.859,519395.006,543557.579,599887.119,592581.922,606871.945,611669.923,661314.896,667966.352,683003.743,689764.41,787150.006,781979.655,825082.701,838294.796,897298.515,955237.403,991834.388,1038258.425,1102385.165,1087297.987,1133102.558,1163545.853,1181103.776,1211788.604,1211576.269,1234975.301,1265377.999,1297337.857719435,1326675.397,1350397.941,1363610.884


Licensed Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),148087.082,149118.897,149863.698,165222.711,163799.97,166805.381,167446.317,183305.803,183118.266,193143.701,197984.178,220439.8,218812.517,226276.286,246899.097,282677.156,276150.927,288596.014,297634.066,337417.762,331819.062,338575.322,349871.443,393003.221,389097.424,398206.301,415570.468,457160.734,452783.754,463355.684,470407.068,524355.741,519748.22,532670.164,543354.673,602640.153,600438.694,637748.055,662748.184,701023.201,729353.413,768851.631,803100.43,855783.86,849653.729,887551.868,901821.043,907581.637,949719.648,949037.4,955160.15,980614.735,1012270.205786822,1037118.854,1067767.457,1081766.211
Deductions/Adjustments (Tier I),8667.751,7063.457,6723.574,5725.284,8031.43,9043.872,8963.37,7969.787,8538.565,15896.216,12914.255,10977.436,9462.889,9939.948,15970.812,11489.399,12170.552,14464.643,17347.536,13644.682,15904.445,14937.374,20056.443,12979.535,14850.986,14368.786,12645.01,14408.321,17211.288,18555.264,20979.209,17714.721,19543.267,18271.716,21700.057,21454.702,22536.629,22726.778,32841.83,28438.138,32681.689,34634.929,35333.942,36556.136,38192.369,38270.382,45268.942,43153.292,49056.942,44307.56,52645.464,52787.383,53990.029351272504,57286.621,77519.097,78286.509
Tier 1 Capital (After Regulatory Adjustments),139419.331,142616.232,143140.124,159497.427,155768.54,157761.509,158482.947,175336.016,174579.701,177247.485,185069.923,209462.364,209349.628,216336.338,230928.285,271187.757,263980.375,274131.371,280286.53,323773.08,315914.617,323637.948,329815,380023.686,374246.438,383837.515,402925.458,442752.413,435572.466,444800.42,449427.859,506641.02,500204.953,514398.448,521654.616,581185.451,577902.065,615021.277,629906.354,672585.063,696671.724,734216.702,767766.488,819227.724,811461.36,849281.486,856552.101,864428.345,900662.706,904729.84,902514.686,927827.352,958280.1764355494,979832.233,990248.36,1003479.702
